cluster,confidence_max,confidence_min,end_time,location_x,location_y,reliability_max,reliability_min,start_time,thumbs_up,uuid count,interactions,point,pareto
21,5,0,2019-02-04 11:53:00,-46.629964964799,-23.51946167009796,10,5,2019-02-04 02:36:00,83,31,114,POINT (-46.629964964799 -23.51946167009796),6.627906976744186
8,4,0,2019-02-04 15:33:00,-46.55923441955649,-23.51041344798837,10,5,2019-02-04 06:25:00,31,41,72,POINT (-46.55923441955649 -23.51041344798837),10.813953488372093
67,5,0,2019-02-04 07:35:00,-46.69331008391696,-23.597790106792726,10,5,2019-02-04 04:55:00,54,3,57,POINT (-46.69331008391696 -23.59779010679273),14.127906976744185
186,5,0,2019-02-04 10:20:00,-46.69295849999998,-23.614290999999994,10,5,2019-02-04 04:54:00,45,6,51,POINT (-46.69295849999998 -23.61429099999999),17.093023255813954
192,5,0,2019-02-04 09:14:00,-46.67576243220336,-23.627071601694936,10,5,2019-02-04 05:29:00,39,2,41,POINT (-46.67576243220336 -23.62707160169494),19.476744186046513
44,4,0,2019-02-04 12:19:00,-46.630528700000006,-23.524191050740736,10,5,2019-02-04 03:22:00,25,15,40,POINT (-46.63052870000001 -23.52419105074074),21.802325581395348
74,5,0,2019-02-04 11:56:00,-46.48751150000005,-23.536454500000012,10,5,2019-02-04 09:21:00,36,2,38,POINT (-46.48751150000005 -23.53645450000001),24.011627906976745
83,5,0,2019-02-04 17:21:00,-46.55612786157018,-23.525813737603308,10,5,2019-02-04 10:47:00,33,2,35,POINT (-46.55612786157018 -23.52581373760331),26.046511627906977
39,5,0,2019-02-04 06:34:00,-46.694438250000005,-23.681387750000027,10,5,2019-02-04 02:57:00,30,4,34,POINT (-46.69443825 -23.68138775000003),28.023255813953487
64,5,0,2019-02-04 09:10:00,-46.647111000000066,-23.51788074999999,10,5,2019-02-04 03:24:00,28,4,32,POINT (-46.64711100000007 -23.51788074999999),29.88372093023256
73,5,0,2019-02-04 10:22:00,-46.621687375,-23.518746375,10,5,2019-02-04 05:31:00,24,8,32,POINT (-46.621687375 -23.518746375),31.74418604651163
